provider_name,principal_code,month,folders_checked,email_files_found,sender_emails,provider_related_emails,other_external_emails,sample_folder_ids,sample_file_ids,status,notes
Alliance &Cooper,ALL,2025-11,1,1,alex@ac-solicitors.co.uk,"alex@ac-solicitors.co.uk;lamiaa.fadl@ac-solicitors.co.uk",,350518945231,2042837818919,verified_sample,"Exact ALL folder ALL25028 contained instruction .msg."
Aman Solicitors Advocates,AS,2025-07,1,1,,pi@amansolicitors.co.uk,,331504487986,1927563095900,verified_sample,"Exact AS folder AS25001 contained instruction .msg; short code search was noisy."
Williams & Co,WIL,2026-02,2,2,kevinb@williamsinjurylaw.co.uk,kevinb@williamsinjurylaw.co.uk,,361895990330;365528613457,2109273650215;2131510381247,partial sample,"First WIL folder had .eml but Box text representation was unavailable; second exact WIL folder WIL26002 contained readable .msg."
Taylor Price,TP,2026-03,1,1,turjo@taylorprice.co.uk,turjo@taylorprice.co.uk;info@taylorprice.co.uk,,372699920762,2174849394648,verified_sample,"Exact TP folder TP26003 contained readable instruction .msg."
Stallion,STALLION,2026-06,2,0,,,,387119788549;390406285388,,no stored email files found,"Two exact STALLION folders checked and scoped .eml/.msg search for STALLION returned zero files."
Turnams,TA,2026-06,1,1,Graham.Anderson@turnamms.co.uk,Graham.Anderson@turnamms.co.uk,gordanahorgan@tfl.gov.uk,388254299749,2272164147699,verified_sample,"Exact TA folder TA26002 contained forwarded instruction .msg; provider address was in original From header."
Relay Motor Group,RELAY,2026-04,7,0,,,,388944622854;378292919739;377675142234;376122489193;380768245654;362682950279;388541323010,,no stored email files found,"Seven exact RELAY folders checked and no .eml/.msg files found; broader keyword mail search returned unrelated provider folders."
Regent Law Ltd,RL,2026-06,1,1,,,,386419172694,2259795407308,verified_no_email_address,"Exact RL folder RL26005 contained readable instruction .msg, but no provider email address was exposed in the extracted text."
Abrahams Solicitors,ABRAHAMS,2026-06,1,1,m.azam@abrahamssolicitors.co.uk,m.azam@abrahamssolicitors.co.uk,,386762209798,2262066983834,verified_sample,"Exact ABRAHAMS folder ABRAHAMS26007 contained readable instruction .msg."
Matt Rowland Solicitors,MATT,2025-07,1,1,s.awan@mattrowlandsolicitors.co.uk,"s.awan@mattrowlandsolicitors.co.uk;info@mattrowlandsolicitors.co.uk",,332053552567,1931120918331,verified_sample,"Exact MATT folder MATT25008 contained readable instruction .msg."
Affinity Seven Law Solicitors,ASLS,2025-07,1,1,,isha.rashid@aslsolicitors.com;Anneka.Tahir@aslsolicitors.com;careers@aslsolicitors.com,,331495864138,1927521354885,partial sample,"ASLS code search found one July 2025 folder with .msg; only one matching folder available in sampled connector pass."
